;instance;time;nodes;colors
0;myciel3;0.006999015808105469;12;4
1;myciel4;50.67961573600769;24;5
2;toy_chain;0.0;6;2
3;toy_cycle;0.0;6;2
4;toy_triangle;0.0;;3
