;instance;time;nodes;colors
0;myciel3;0.019623994827270508;12;4
1;myciel4;5.657257080078125;24;5
2;toy_chain;0.0;6;2
3;toy_cycle;0.0009999275207519531;6;2
4;toy_triangle;0.0;;3
