;instance;time;nodes;colors
0;toy_chain;0.0009963512420654297;6;2
1;toy_cycle;0.0;6;2
2;toy_triangle;0.0;;3
3;myciel3;0.017725229263305664;12;4
4;myciel4;4.534283399581909;24;5
