;instance;smallest nodes;mean random nodes;smallest time;mean random time
0;easy1;82;365.2;0.01600360870361328;0.2154
1;easy10;82;1106.2;0.01799941062927246;0.3995
2;easy2;1204;4027.4;0.2180333137512207;1.1934
3;easy3;127;435.4;0.035036563873291016;0.1647
4;easy4;84;520.3;0.021031856536865234;0.1614
5;easy5;141;857.2;0.0540006160736084;0.2507
6;easy6;181;8168.6;0.040999650955200195;2.7787
7;easy7;93;124.2;0.01896071434020996;0.0256
8;easy8;91;83.1;0.026991844177246094;0.0155
9;easy9;82;97.0;0.016033411026000977;0.0164
