,instance,backtrack nodes,back track time,backjump nodes,backjump time,result,node ratio,time ratio,time per node ratio
0,3 queens,6,0.0,6,0.0,False,0.0,0.0,0.0
1,6 queens,38,0.0009944438934326172,38,0.0,True,0.0,99.00442423261435,-99.00442423261435
2,9 queens,83,0.0019986629486083984,83,0.0009980201721191406,True,0.0,49.816360538860096,-49.816360538860096
3,12 queens,241,0.004994869232177734,241,0.005232572555541992,True,0.0,-4.749441240861904,4.749441240861907
4,15 queens,29,0.0009968280792236328,29,0.0009968280792236328,True,0.0,0.0,0.0
5,18 queens,53,0.0015120506286621094,53,0.0019881725311279297,True,0.0,-31.281607424868252,31.281607424868252
6,21 queens,63,0.0029897689819335938,63,0.003514528274536133,True,0.0,-17.493323511342172,17.49332351134218
7,24 queens,884,0.030871152877807617,884,0.03546714782714844,True,0.0,-14.882847695248058,14.882847695248053
8,27 queens,346,0.015882492065429688,346,0.016475200653076172,True,0.0,-3.7294880199171536,3.729488019917151
9,30 queens,502,0.021439075469970703,502,0.02534937858581543,True,0.0,-18.230637126151468,18.23063712615146
10,33 queens,863,0.03903961181640625,863,0.047336578369140625,True,0.0,-21.247244637777676,21.24724463777767
11,36 queens,72,0.008937597274780273,72,0.009473800659179688,True,0.0,-5.992708074946094,5.992708074946089
12,39 queens,121,0.013466596603393555,121,0.012992382049560547,True,0.0,3.5188005383614094,-3.5188005383614116
13,42 queens,62,0.012472152709960938,62,0.014189958572387695,True,0.0,-13.762096189192782,13.762096189192787
14,45 queens,48,0.014499187469482422,48,0.014476776123046875,True,0.0,0.15446313918463928,-0.1544631391846333
15,48 queens,102,0.01918315887451172,102,0.020101308822631836,True,0.0,-4.783735465970686,4.783735465970686
16,51 queens,195,0.027446508407592773,195,0.027826309204101562,True,0.0,-1.3832814823743562,1.3832814823743629
17,54 queens,628,0.0573878288269043,628,0.06235313415527344,True,0.0,-8.650684929813469,8.650684929813476
18,57 queens,62,0.027587175369262695,62,0.030053377151489258,True,0.0,-8.936428272921654,8.93642827292165
19,60 queens,95,0.035756587982177734,95,0.03442835807800293,True,0.0,3.7136052922818727,-3.7136052922818714
20,63 queens,89,0.048787832260131836,89,0.042420387268066406,True,0.0,13.048622648075447,-13.048622648075453
21,66 queens,75,0.04344296455383301,75,0.04365825653076172,True,0.0,-0.4954598130168772,0.49545981301687564
22,69 queens,148,0.053594350814819336,148,0.05451011657714844,True,0.0,-1.7083795408560958,1.7083795408560964
23,72 queens,102,0.057472944259643555,102,0.05750918388366699,True,0.0,-0.06304413333413729,0.06304413333413766
24,75 queens,79,0.0617067813873291,79,0.062744140625,True,0.0,-1.680838200489625,1.680838200489621
25,78 queens,96,0.07010459899902344,96,0.06994032859802246,True,0.0,0.2342884411323019,-0.23428844113229202
26,81 queens,957,0.1501929759979248,957,0.16116952896118164,True,0.0,-7.307813237607546,7.307813237607556
27,84 queens,179,0.09519624710083008,179,0.09888672828674316,True,0.0,-3.876301501522908,3.876301501522904
28,87 queens,366,0.12862825393676758,366,0.134307861328125,True,0.0,-4.415177614389298,4.415177614389304
29,90 queens,127,0.1082754135131836,127,0.10869193077087402,True,0.0,-0.38464761243186213,0.38464761243185736
30,93 queens,923,0.19611811637878418,923,0.21181964874267578,True,0.0,-8.00575289958278,8.00575289958279
31,96 queens,99,0.12691760063171387,99,0.12502288818359375,True,0.0,1.492750543372919,-1.4927505433729311
32,99 queens,565,0.18485093116760254,565,0.19469738006591797,True,0.0,-5.326408796128065,5.326408796128066
33,102 queens,130,0.1575453281402588,130,0.16926217079162598,True,0.0,-7.436652755365168,7.436652755365178
34,105 queens,128,0.1898813247680664,128,0.1645832061767578,True,0.0,13.322419348123333,-13.322419348123333
35,108 queens,161,0.18477582931518555,161,0.18618035316467285,True,0.0,-0.760082012074441,0.760082012074431
36,111 queens,38251,5.006795167922974,38251,6.567870378494263,True,0.0,-31.179068452126064,31.179068452126053
37,114 queens,115,0.2528212070465088,115,0.22696304321289062,True,0.0,10.227441515501488,-10.22744151550149
38,117 queens,324,0.2903733253479004,324,0.30716490745544434,True,0.0,-5.782557275775531,5.782557275775527
39,120 queens,154,0.2446591854095459,154,0.24928808212280273,True,0.0,-1.8919001612355213,1.891900161235533
40,123 queens,157,0.2773895263671875,157,0.26235008239746094,True,0.0,5.421582425421732,-5.421582425421731
41,126 queens,251,0.292919397354126,251,0.29980921745300293,True,0.0,-2.35204119528767,2.352041195287654
42,129 queens,133,0.30678319931030273,133,0.296201229095459,True,0.0,3.449219291246651,-3.4492192912466564
