,instance,backtrack nodes,back track time,backjump nodes,backjump time,result,node ratio,time ratio,time per node ratio
0,3 queens,6,0.0,6,0.0,False,0.0,0.0,0.0
1,6 queens,38,0.0005123615264892578,7,0.0,True,81.57894736842105,98.08561705009,-98.08561705009
2,9 queens,83,0.0009961128234863281,10,0.0009963512420654297,True,87.95180722891565,-0.023697002317832234,722.9410376117304
3,12 queens,241,0.0045015811920166016,13,0.0009968280792236328,True,94.6058091286307,77.68347644933777,309.826582304756
4,15 queens,29,0.0009920597076416016,16,0.0009267330169677734,True,44.827586206896555,6.519241336185227,68.6230451507618
5,18 queens,53,0.001512289047241211,19,0.001992464065551758,True,64.15094339622641,-31.54295954377065,265.7601089413535
6,21 queens,63,0.0019998550415039062,22,0.002579927444458008,True,65.07936507936508,-28.861404975756518,268.0849560154216
7,24 queens,884,0.03209495544433594,25,0.0019974708557128906,True,97.17194570135746,93.7471619943735,120.03011211302103
8,27 queens,346,0.015506744384765625,28,0.003939151763916016,True,91.90751445086705,74.54909569952508,213.76853207994557
9,30 queens,502,0.02266240119934082,31,0.0055429935455322266,True,93.82470119521913,75.50769547208932,295.947184418875
10,33 queens,863,0.038549184799194336,34,0.006506681442260742,True,96.06025492468135,83.0995352308462,328.3412258412586
11,36 queens,72,0.009488105773925781,37,0.008995771408081055,True,48.61111111111111,5.183500558566992,84.40818958128237
12,39 queens,121,0.012474298477172852,40,0.010554790496826172,True,66.94214876033058,15.37537718964698,155.82728025365014
13,42 queens,62,0.014497518539428711,43,0.01281428337097168,True,30.64516129032258,11.602502274129888,27.426399843353227
14,45 queens,48,0.015016555786132812,46,0.013703584671020508,True,4.166666666666666,8.737671717985927,-4.772637829617161
15,48 queens,102,0.02060246467590332,49,0.019922733306884766,True,51.9607843137255,3.2976714803697593,101.24624998550233
16,51 queens,195,0.028095483779907227,52,0.020999670028686523,True,73.33333333333333,25.24707920627768,180.2256073025847
17,54 queens,628,0.06210947036743164,55,0.02512216567993164,True,91.2420382165605,59.542208696763,361.7867050430344
18,57 queens,62,0.03160405158996582,58,0.03100752830505371,True,6.451612903225806,1.8868928685541957,4.877346829888878
19,60 queens,95,0.03623509407043457,61,0.03693509101867676,True,35.78947368421053,-1.9312874368097748,58.73006964769576
20,63 queens,89,0.04126691818237305,64,0.03800797462463379,True,28.08988764044944,7.895317047024506,28.073611210046284
21,66 queens,75,0.045623779296875,67,0.0473024845123291,True,10.666666666666668,-3.678646040980128,16.055569318525063
22,69 queens,148,0.05590033531188965,70,0.050879716873168945,True,52.702702702702695,8.979768070990337,92.42284620848002
23,72 queens,102,0.057581424713134766,73,0.05748271942138672,True,28.431372549019606,0.17138886950566332,39.4796546318062
24,75 queens,79,0.06801033020019531,76,0.08812117576599121,True,3.79746835443038,-29.56593345931472,34.679797879274616
25,78 queens,96,0.09495329856872559,79,0.09160971641540527,True,17.708333333333336,3.520920401580764,17.23813449266098
26,81 queens,957,0.26537251472473145,82,0.08868551254272461,True,91.43155694879833,66.57823796917283,290.0162089750465
27,84 queens,179,0.12134003639221191,85,0.09411168098449707,True,52.513966480446925,22.437863405092745,63.32762155117258
28,87 queens,366,0.14538931846618652,88,0.1056368350982666,True,75.95628415300546,27.340212999117046,202.1769325724265
29,90 queens,127,0.12492609024047852,91,0.12173843383789062,True,28.346456692913385,2.5514296120938718,35.99648672462273
30,93 queens,923,0.20325899124145508,94,0.11938810348510742,True,89.81581798483207,41.261034083019965,476.72326810273
31,96 queens,99,0.13510584831237793,97,0.130143404006958,True,2.0202020202020203,3.672732967599118,-1.6867563495351239
32,99 queens,565,0.19185996055603027,100,0.14490461349487305,True,82.30088495575221,24.47248486687692,326.7062253379408
33,102 queens,130,0.15935993194580078,103,0.15532755851745605,True,20.76923076923077,2.530197120066584,23.01849473047813
34,105 queens,128,0.1760239601135254,106,0.16537833213806152,True,17.1875,6.047485365095709,13.450914126249957
35,108 queens,161,0.19774341583251953,109,0.19192004203796387,True,32.298136645962735,2.944765211786567,43.3544022675581
36,111 queens,38251,5.412395477294922,112,0.20405817031860352,True,99.70719719745888,96.22962153935674,1187.6223206115392
37,114 queens,115,0.22771048545837402,115,0.2253892421722412,True,0.0,1.01933880979589,-1.0193388097958922
38,117 queens,324,0.28427696228027344,118,0.23263049125671387,True,63.580246913580254,18.16702060808622,124.68780256818238
