;instance;nodes;time;result
0;3 queens;6;0.0;False
1;6 queens;38;0.0009968280792236328;True
2;9 queens;83;0.0009965896606445312;True
3;12 queens;241;0.005112409591674805;True
4;15 queens;29;0.0019860267639160156;True
5;18 queens;53;0.002499818801879883;True
6;21 queens;63;0.0029859542846679688;True
7;24 queens;884;0.03120136260986328;True
8;27 queens;346;0.01604008674621582;True
9;30 queens;502;0.02354264259338379;True
10;33 queens;863;0.04066610336303711;True
11;36 queens;72;0.009486198425292969;True
12;39 queens;121;0.013753890991210938;True
13;42 queens;62;0.012725591659545898;True
14;45 queens;48;0.014919042587280273;True
15;48 queens;102;0.021502256393432617;True
16;51 queens;195;0.028056859970092773;True
17;54 queens;628;0.05846667289733887;True
18;57 queens;62;0.031182289123535156;True
19;60 queens;95;0.03896474838256836;True
20;63 queens;89;0.0411534309387207;True
21;66 queens;75;0.044284820556640625;True
22;69 queens;148;0.055650949478149414;True
23;72 queens;102;0.06147336959838867;True
24;75 queens;79;0.07095742225646973;True
25;78 queens;96;0.07191848754882812;True
26;81 queens;957;0.15179181098937988;True
27;84 queens;179;0.09880590438842773;True
28;87 queens;366;0.12418293952941895;True
29;90 queens;127;0.11124348640441895;True
30;93 queens;923;0.20557737350463867;True
31;96 queens;99;0.12865042686462402;True
32;99 queens;565;0.1867818832397461;True
33;102 queens;130;0.17990970611572266;True
34;105 queens;128;0.1877908706665039;True
35;108 queens;161;0.24531841278076172;True
36;111 queens;38251;4.989225149154663;True
37;114 queens;115;0.21064066886901855;True
38;117 queens;324;0.2530064582824707;True
