,instance,backtrack nodes,back track time,backjump nodes,backjump time,result,node ratio,time ratio,time per node ratio
0,almost_full,82,0.0025305747985839844,82,0.0031523704528808594,True,0.0,-24.474605299691994,24.474605299691998
1,easy1,120,0.0036394596099853516,82,0.0020380020141601562,True,31.666666666666664,43.882047398015274,-18.003148637293627
2,easy10,82,0.003434419631958008,82,0.002618074417114258,True,0.0,23.700515676706093,-23.700515676706093
3,easy2,1587,0.045473575592041016,82,0.0035920143127441406,True,94.83301827347196,92.0806263231107,52.865331193407705
4,easy3,177,0.005596637725830078,82,0.002025604248046875,True,53.672316384180796,63.692959174645125,-21.836560677141804
5,easy4,119,0.0044977664947509766,82,0.002068758010864258,True,31.092436974789916,53.88496690578701,-33.17706241253334
6,easy5,157,0.0046079158782958984,82,0.002024412155151367,True,47.77070063694268,55.94523138212503,-15.849297801510986
7,easy6,366,0.02083897590637207,82,0.003981590270996094,True,77.59562841530054,80.85474179201222,-14.712893512893807
8,easy7,92,0.0029897689819335938,82,0.001993417739868164,True,10.869565217391305,33.21426576733255,-25.110317568712638
9,easy8,104,0.0040132999420166016,82,0.0015015602111816406,True,21.153846153846153,62.42984035577521,-52.416726159964746
10,easy9,82,0.0025224685668945312,82,0.002991199493408203,True,0.0,-18.508854666198623,18.50885466619862
11,intermediate1,115,0.0034911632537841797,82,0.001994609832763672,True,28.695652173913043,42.74446269830407,-19.81754450135898
12,intermediate10,1547,0.04585003852844238,82,0.002005338668823242,True,94.69941822882998,95.6054579684373,-17.48278659130652
13,intermediate2,175,0.005511283874511719,82,0.0029909610748291016,True,53.142857142857146,45.647404787813144,15.790978703687749
14,intermediate3,82,0.0024962425231933594,82,0.0029931068420410156,True,0.0,-19.82506937176098,19.82506937176097
15,intermediate4,144,0.0046575069427490234,82,0.0021538734436035156,True,43.05555555555556,53.639630960483196,-18.748660741602396
16,intermediate5,323,0.010329961776733398,82,0.002378702163696289,True,74.61300309597523,76.89834628720526,-9.28626195667734
17,intermediate6,537,0.015715599060058594,82,0.0035200119018554688,True,84.72998137802608,77.55244879146552,46.65123517161645
18,intermediate7,1598,0.04826068878173828,82,0.0029926300048828125,True,94.86858573216522,93.77959983446773,20.838941973866515
19,intermediate8,90,0.002516508102416992,82,0.002477884292602539,True,8.88888888888889,1.5287427646681018,8.039594214070592
20,intermediate9,88,0.0039958953857421875,82,0.0024919509887695312,True,6.8181818181818175,37.54327689947936,-32.991538532171596
21,expert1,94,0.002991199493408203,82,0.0025272369384765625,True,12.76595744680851,15.459237413263669,-3.1361794897737028
22,expert10,484,0.014310836791992188,82,0.002524852752685547,True,83.05785123966942,82.299548626216,4.133505848129753
23,expert2,137,0.003991127014160156,82,0.001993417739868164,True,40.14598540145985,49.928664279389665,-16.511867478737145
24,expert3,132,0.003983259201049805,82,0.0019965171813964844,True,37.878787878787875,49.75239321131515,-19.26630493230449
25,expert4,86,0.0029921531677246094,82,0.001997232437133789,True,4.651162790697675,33.1402388554642,-29.895035593001978
26,expert5,143,0.004794120788574219,82,0.0019922256469726562,True,42.65734265734265,58.322745511840424,-27.47378098549798
27,expert6,658,0.018015384674072266,82,0.0019931793212890625,True,87.53799392097264,88.88689835190902,-11.213829887801063
28,expert7,158,0.0039980411529541016,82,0.003177642822265625,True,48.10126582278481,20.46881005909351,53.01178206719377
29,expert8,1390,0.03946518898010254,82,0.0024967193603515625,True,94.10071942446044,93.6498863587073,7.2380881039084715
30,expert9,151,0.0029900074005126953,82,0.003532886505126953,True,45.6953642384106,-18.095925514099758,117.18883913861207
